trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.994}",25,0,-50.27046836089253,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.9, 'e': 0.988036}",20,0,-76.31578991706348,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.9, 'e': 0.982107784}",20,10,-53.500328380836656,"{0: 5, 1: 2, 2: 1, 3: 2, 4: 0}",1
4,False,"{'a': 0.9, 'e': 0.976215137296}",30,0,-257.2760545555263,"{0: 15, 1: 3, 2: 6, 3: 2, 4: 4}",0
5,False,"{'a': 0.9, 'e': 0.970357846472224}",30,18,-33.72847580676757,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
6,False,"{'a': 0.9, 'e': 0.9645356993933907}",20,0,-65.40915654660681,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
7,False,"{'a': 0.9, 'e': 0.9587484851970303}",20,0,-130.43029438409454,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.9, 'e': 0.9529959942858481}",25,0,-169.13177316694146,"{0: 16, 1: 2, 2: 2, 3: 2, 4: 3}",0
9,False,"{'a': 0.9, 'e': 0.947278018320133}",25,0,-120.26460474442597,"{0: 18, 1: 2, 2: 1, 3: 2, 4: 2}",0
10,False,"{'a': 0.9, 'e': 0.9415943502102122}",20,0,-44.81806208873151,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
11,False,"{'a': 0.9, 'e': 0.9359447841089509}",25,0,-218.46683901574957,"{0: 11, 1: 4, 2: 5, 3: 2, 4: 3}",0
12,False,"{'a': 0.9, 'e': 0.9303291154042972}",30,0,-131.61868667844539,"{0: 19, 1: 2, 2: 6, 3: 2, 4: 1}",0
13,False,"{'a': 0.9, 'e': 0.9247471407118714}",20,0,-81.87789834263555,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
14,False,"{'a': 0.9, 'e': 0.9191986578676001}",25,2,-29.294242789783212,"{0: 16, 1: 6, 2: 0, 3: 1, 4: 0}",1
15,False,"{'a': 0.9, 'e': 0.9136834659203946}",20,0,-51.191523522125564,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.9, 'e': 0.9082013651248722}",20,0,-87.0524965059418,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.9, 'e': 0.9027521569341229}",20,0,-126.5213845618188,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
18,False,"{'a': 0.9, 'e': 0.8973356439925182}",25,0,-115.6248664448771,"{0: 14, 1: 3, 2: 5, 3: 3, 4: 0}",0
19,False,"{'a': 0.9, 'e': 0.8919516301285632}",25,0,-191.0897891180572,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 4}",0
20,False,"{'a': 0.9, 'e': 0.8865999203477918}",30,0,-93.58673016112863,"{0: 22, 1: 5, 2: 1, 3: 0, 4: 2}",0
21,False,"{'a': 0.9, 'e': 0.881280320825705}",20,0,-60.52344414640959,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
22,False,"{'a': 0.9, 'e': 0.8759926389007507}",25,0,-73.0198261340318,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
23,False,"{'a': 0.9, 'e': 0.8707366830673462}",30,0,-39.512916022256434,"{0: 23, 1: 2, 2: 4, 3: 1, 4: 0}",0
24,False,"{'a': 0.9, 'e': 0.8655122629689421}",30,0,-274.05998603796115,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 6}",0
25,False,"{'a': 0.9, 'e': 0.8603191893911285}",20,0,-89.3122086938247,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",1
26,False,"{'a': 0.9, 'e': 0.8551572742547817}",30,0,-153.7426204416255,"{0: 17, 1: 3, 2: 7, 3: 2, 4: 1}",0
27,False,"{'a': 0.9, 'e': 0.850026330609253}",20,0,-112.66624009446883,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
28,False,"{'a': 0.9, 'e': 0.8449261726255975}",25,0,-10.45511945616586,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
29,False,"{'a': 0.9, 'e': 0.8398566155898439}",30,0,-60.19418645404701,"{0: 22, 1: 3, 2: 3, 3: 2, 4: 0}",0
30,False,"{'a': 0.9, 'e': 0.8348174758963048}",25,0,-118.7861079940457,"{0: 12, 1: 5, 2: 7, 3: 0, 4: 1}",0
31,False,"{'a': 0.9, 'e': 0.829808571040927}",35,18,-20.700916209811332,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 0}",1
32,False,"{'a': 0.9, 'e': 0.8248297196146814}",25,0,-181.22211642597665,"{0: 14, 1: 4, 2: 2, 3: 2, 4: 3}",0
33,False,"{'a': 0.9, 'e': 0.8198807412969934}",25,0,-120.41021471684851,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
34,False,"{'a': 0.9, 'e': 0.8149614568492114}",25,0,-129.149514092311,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
35,False,"{'a': 0.9, 'e': 0.8100716881081161}",25,0,-216.00367101686763,"{0: 15, 1: 0, 2: 5, 3: 1, 4: 4}",0
36,False,"{'a': 0.9, 'e': 0.8052112579794674}",20,10,-14.315591755051852,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
37,False,"{'a': 0.9, 'e': 0.8003799904315906}",20,0,-30.93870322222772,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
38,False,"{'a': 0.9, 'e': 0.795577710489001}",20,0,-107.26829838189673,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
39,False,"{'a': 0.9, 'e': 0.790804244226067}",20,0,-52.116630828757465,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
40,False,"{'a': 0.9, 'e': 0.7860594187607106}",20,6,10.320295544244953,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
41,False,"{'a': 0.9, 'e': 0.7813430622481463}",20,0,-174.11665152409128,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
42,False,"{'a': 0.9, 'e': 0.7766550038746575}",25,4,-95.86506351889615,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 1}",1
43,False,"{'a': 0.9, 'e': 0.7719950738514095}",25,0,-71.56904622686517,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
44,False,"{'a': 0.9, 'e': 0.767363103408301}",25,0,0.9252389835737997,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
45,False,"{'a': 0.9, 'e': 0.7627589247878512}",20,4,-15.859545209691145,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 0}",1
46,False,"{'a': 0.9, 'e': 0.7581823712391241}",20,0,-85.43027463774587,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
47,False,"{'a': 0.9, 'e': 0.7536332770116894}",20,11,-30.317479750763965,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
48,False,"{'a': 0.9, 'e': 0.7491114773496192}",25,0,-81.63006678059767,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
49,False,"{'a': 0.9, 'e': 0.7446168084855216}",30,22,2.5298942028100533,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.9, 'e': 0.7401491076346084}",20,0,-149.5296975933021,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
51,False,"{'a': 0.9, 'e': 0.7357082129888007}",25,3,-147.64213831213294,"{0: 10, 1: 6, 2: 3, 3: 1, 4: 2}",1
52,False,"{'a': 0.9, 'e': 0.731293963710868}",25,0,-51.68261318218101,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
53,False,"{'a': 0.9, 'e': 0.7269061999286027}",20,0,-63.652544705178826,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
54,False,"{'a': 0.9, 'e': 0.7225447627290311}",30,21,-51.16695315497488,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
55,False,"{'a': 0.9, 'e': 0.7182094941526569}",25,0,-225.33985400156726,"{0: 14, 1: 1, 2: 4, 3: 2, 4: 4}",0
56,False,"{'a': 0.9, 'e': 0.713900237187741}",25,0,-141.2820215114255,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
57,False,"{'a': 0.9, 'e': 0.7096168357646145}",30,0,-49.879993949487954,"{0: 22, 1: 4, 2: 2, 3: 2, 4: 0}",0
58,False,"{'a': 0.9, 'e': 0.7053591347500269}",20,8,-48.21723409530603,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 1}",1
59,False,"{'a': 0.9, 'e': 0.7011269799415266}",20,5,-55.572052808994925,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 1}",1
60,False,"{'a': 0.9, 'e': 0.6969202180618775}",20,2,-63.43479358576148,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 0}",1
61,False,"{'a': 0.9, 'e': 0.6927386967535062}",20,0,-97.74104848627859,"{0: 10, 1: 1, 2: 7, 3: 2, 4: 0}",0
62,False,"{'a': 0.9, 'e': 0.6885822645729852}",20,0,-42.56053813314903,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
63,False,"{'a': 0.9, 'e': 0.6844507709855473}",25,0,-51.99676235279501,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
